strategy_name,total_trades,trades_removed_count,trades_removed_pct,win_count,loss_count,win_rate,loss_rate,total_pnl,total_profit,total_loss,avg_pnl_per_trade,avg_win,avg_loss,largest_win,largest_loss,pnl_improvement_vs_baseline,win_rate_improvement_vs_baseline,trades_per_day,trades_per_hour,direction_yes_trades,direction_yes_pct,direction_no_trades,direction_no_pct,total_fees,profit_factor,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_dollars,max_drawdown_pct,peak_before_max_dd,valley_at_max_dd,max_drawdown_start_date,longest_drawdown_duration_days,longest_flat_period_days,avg_drawdown_depth,avg_drawdown_duration,max_consecutive_wins,max_consecutive_losses,avg_win_loss_ratio,kelly_criterion,recovery_factor,downside_deviation,upside_deviation,var_95,cvar_95,median_drawdown,drawdown_5pct_count,drawdown_10pct_count,drawdown_20pct_count,days_underwater,avg_win_streak,avg_loss_streak,daily_pnl_std,monthly_pnl_std,annualized_volatility,year_2023_trades,year_2023_win_rate,year_2023_pnl,year_2024_trades,year_2024_win_rate,year_2024_pnl,year_2025_trades,year_2025_win_rate,year_2025_pnl,year_2026_trades,year_2026_win_rate,year_2026_pnl,consistency_score,best_month_name,best_month_pnl,worst_month_name,worst_month_pnl,positive_months_count,negative_months_count,monthly_win_rate_avg,quarterly_win_rate_q1,quarterly_win_rate_q2,quarterly_win_rate_q3,quarterly_win_rate_q4,busiest_day_trades,quietest_day_trades,zero_days_count,first_50_pct_wr,last_50_pct_wr,efficiency_score,pnl_efficiency,roi_vs_baseline_pct,roi_annual_pct,cagr,profit_per_hour_removed,profit_per_trade_removed,incremental_sharpe,mar_ratio,drawdown_improvement_vs_baseline,max_drawdown_duration_days,max_drawdown_depth_dollars,max_drawdown_depth_pct,mc_mean_final_pnl,mc_median_final_pnl,mc_std_final_pnl,mc_5th_percentile_pnl,mc_95th_percentile_pnl,mc_probability_profitable,mc_mean_max_drawdown,mc_worst_max_drawdown,mc_best_max_drawdown,mc_mean_sharpe,mc_median_sharpe,mc_confidence_95_lower_bound_pnl,mc_confidence_95_upper_bound_pnl,mc_risk_of_ruin_pct,rank_total_pnl,rank_sharpe_ratio,rank_win_rate,rank_max_drawdown_pct,rank_consistency_score,rank_trades_per_day
00_Baseline,40281,0,0.0,22106,18175,54.87947171122863,45.12052828877138,3125.38,21663.88000000001,18538.5,0.0775894342245723,0.9800000000000004,1.0199999999999998,0.98,-1.02,0.0,0.0,36.03186701577511,1.5025738585496866,18489,45.90005213376033,21792,54.09994786623966,805.6200000000001,1.168588612886696,9.886183700295222,12.146526652095782,6.179421592608903,34.15999999999076,34.15999999999076,2389.38000000043,2355.220000000439,2025-03-30,18,18,6.205182261180704,2.948863636363636,18,11,0.9607843137254908,0.0791728920658905,91.49238875880694,2.220507136944432e-16,4.440992547310277e-16,-1.02,-1.0199999999999998,4.439999999990505,17041,7771,1100,519,2.172152893780092,1.786065251572327,5.652781970870497,37.68065717214769,107.99624791502002,11004.0,56.19774627408215,1143.9199999999998,13079.0,54.690725590641485,965.4199999999996,14187.0,53.96489744131952,841.2599999999998,2011.0,55.34559920437593,174.77999999999997,0.8232900153316716,2023-09,188.48,2024-12,12.93999999999998,37,0,100.0,55.05337723236556,54.97005988023952,52.364429463666106,57.11752536695892,80,5,0,55.69016881827209,54.06881485527034,0.0,0.0,0.0,211.14021988921132,2.1108904160346302,0.0,0.0,0.0,6.180919785985612,0.0,18,34.15999999999076,34.15999999999076,3124.494,3124.38,207.95284803050907,2797.1800000000003,3479.58,100.0,5.982159999999986,40.51999999999976,0.0,1.489099105159423,1.4889733728802907,2703.33,3547.4300000000003,0.0,9,11,11,11,8,1
01_Cut_Bottom_5_Pct,38290,1991,4.942776991633773,21310,16980,55.65421781143903,44.34578218856098,3564.2,20883.800000000003,17319.6,0.0930843562287803,0.98,1.02,0.98,-1.02,438.82000000000016,0.7747461002104004,34.250892183263296,1.428304983586989,17586,45.928440846173935,20704,54.07155915382607,765.8,1.2057899720547822,11.383571205309158,13.832388126583654,8.647957928722585,25.93999999999733,25.93999999999733,2242.060000000286,2216.1200000002887,2024-09-20,15,15,5.071747680456597,2.3812154696132595,18,10,0.9607843137254902,0.0949840369681433,137.40169622206506,0.0,1.1102490748856014e-16,-1.02,-1.02,3.679999999998472,13403,5027,260,431,2.206004140786749,1.7579459571384202,5.453279071681152,34.954670844020455,104.18475037776406,10471.0,56.91910992264349,1239.58,12402.0,55.66844057410096,1157.9599999999998,13510.0,54.64100666173205,983.7999999999996,1907.0,55.79444153120083,182.86,0.8070283437189341,2023-09,196.26,2024-12,36.21999999999999,37,0,100.0,55.878941263313294,55.703223105902055,53.40409563632464,57.50705360741637,74,5,0,56.5526247061896,54.75581091668843,0.1567430821826978,88.78005233550982,14.040532671227185,224.3833444686649,2.243280286710408,0.2204018081366148,0.2204018081366148,0.0607749222969877,8.650090380442867,8.219999999993433,15,25.93999999999733,25.93999999999733,3571.443999999999,3576.2,191.72525254644987,3240.1000000000004,3878.2,100.0,4.951979999999993,45.980000000000295,0.0,1.79361078942985,1.7959460265555904,3202.15,3936.25,0.0,8,10,10,8,9,2
02_Cut_Bottom_10_Pct,36154,4127,10.245525185571362,20365,15789,56.32848370857997,43.67151629142004,3852.920000000001,19957.700000000004,16104.779999999995,0.1065696741715992,0.9800000000000002,1.0199999999999998,0.98,-1.02,727.5400000000009,1.4490119973513416,32.3426239132258,1.3486272754401671,16587,45.87874094152791,19567,54.12125905847209,723.0799999999999,1.239240771994402,12.54890764738504,15.04016266279531,8.267960568092091,28.119999999998072,28.119999999998075,2899.0600000003874,2870.9400000003893,2025-03-19,15,15,4.390867284434628,2.2848837209302326,20,10,0.9607843137254906,0.108744565481224,137.01706970128964,2.220516368824991e-16,2.220500567488146e-16,-1.02,-1.0199999999999998,3.2199999999998,10733,3067,129,393,2.232025427444104,1.730680697139099,5.224998530473614,32.81587360349196,99.82345676172392,9897.0,57.542689703950685,1295.0599999999995,11718.0,56.34920634920635,1253.64,12723.0,55.39573999842804,1118.5399999999995,1816.0,56.11233480176211,185.68,0.7729175662114208,2023-09,200.2,2024-12,44.399999999999984,37,0,100.0,56.30749014454665,56.40031031807603,54.458636743464254,57.90895863645812,70,4,0,57.23294794490236,55.42401947225757,0.1414287673014523,71.01051306033446,23.27844934056023,232.52317232746825,2.324950511747337,0.1762878604313062,0.1762878604313062,0.0549561102212919,8.268960609085497,6.039999999992684,15,28.119999999998072,28.119999999998075,3857.0319999999992,3855.92,188.1635550684564,3554.82,4154.92,100.0,4.050419999999996,32.739999999999895,0.0,2.054835168984319,2.054137776214378,3490.82,4242.97,0.0,7,9,9,10,11,3
03_Cut_Bottom_15_Pct,34237,6044,15.004592736029393,19467,14770,56.859537926804336,43.14046207319567,4012.26,19077.660000000003,15065.399999999998,0.1171907585360867,0.9800000000000002,1.0199999999999998,0.98,-1.02,886.8800000000006,1.980066215575711,30.62771518828101,1.277118770516264,15727,45.93568361713935,18510,54.064316382860646,684.74,1.2663228324505162,13.590263095458406,16.18365055440251,8.816686243670146,26.85999999999831,26.85999999999831,3020.080000000368,2993.220000000369,2025-03-19,14,14,4.016768620596333,2.0742857142857143,19,10,0.9607843137254906,0.1195824066694764,149.37676842889996,2.220521220503081e-16,2.220503082475757e-16,-1.02,-1.0199999999999998,3.099999999999909,8789,2304,83,363,2.26255230125523,1.7168429617575265,5.091013915792634,31.104313915342097,97.26368429244236,9360.0,58.02350427350428,1314.7999999999995,11100.0,56.97297297297297,1325.9999999999998,12057.0,55.901136269387074,1181.8599999999997,1720.0,56.51162790697675,189.6,0.7757337387354957,2023-09,194.84,2026-02,52.59999999999999,37,0,100.0,56.59718309859155,57.100380589914366,55.27744669580188,58.162288631287886,66,3,0,57.74623203645286,55.97289561306151,0.1319640093143699,59.10723573792195,28.37670939213794,236.8449852902334,2.368161925049652,0.1467372600926539,0.1467372600926539,0.051372944937634,8.817758201423988,7.299999999992451,14,26.85999999999831,26.85999999999831,4001.248000000002,4004.26,183.3674994539654,3690.26,4298.46,100.0,3.499879999999996,27.19999999999997,0.0,2.254105293541299,2.2557178006731866,3634.06,4358.31,0.0,5,8,8,9,10,4
04_Cut_Bottom_20_Pct,32106,8175,20.29492812988754,18441,13665,57.437862081853865,42.56213791814614,4133.880000000001,18072.180000000008,13938.299999999996,0.1287572416370772,0.9800000000000004,1.0199999999999996,0.98,-1.02,1008.5000000000014,2.55839037062524,28.721366470045567,1.1976275738585498,14730,45.8792749018875,17376,54.1207250981125,642.1199999999999,1.2965842319364638,14.915821797590027,17.66546830535276,10.574410974157514,22.69999999999845,22.69999999999845,3114.4800000003456,3091.780000000347,2025-03-19,10,10,3.698750363477325,2.0236686390532546,27,11,0.960784313725491,0.1313849404459975,182.109251101334,4.441054598897647e-16,4.441012511512906e-16,-1.02,-1.0199999999999996,2.679999999999381,7346,1686,30,342,2.2916614887535727,1.6983594332587622,5.0076213877268,29.24262986123514,95.6704722807873,8781.0,58.87712105682724,1383.38,10415.0,57.44599135861738,1342.6999999999998,11305.0,56.28482972136223,1194.9,1605.0,57.63239875389408,212.9,0.919117326390183,2023-09,191.68,2025-07,60.79999999999998,37,0,100.0,57.06806282722513,57.901554404145074,55.88742102240092,58.58283433133733,63,3,0,58.406528374758615,56.46919578894911,0.1260605780050829,49.69221834862392,32.268076201933894,240.06842538176323,2.4003912911335923,0.1233639143730888,0.1233639143730888,0.0491801336500146,10.575701558668705,11.459999999992306,10,22.69999999999845,22.69999999999845,4143.556000000001,4151.880000000001,181.28485602498628,3839.880000000001,4436.080000000001,100.0,3.4288199999999964,27.859999999999985,0.0,2.4936553868006524,2.498626202801158,3783.880000000001,4485.88,0.0,4,7,7,7,5,5
05_Cut_Bottom_25_Pct,30015,10266,25.48596112311015,17404,12611,57.98434116275196,42.01565883724804,4192.700000000001,17055.920000000006,12863.219999999998,0.1396868232550391,0.9800000000000004,1.0199999999999998,0.98,-1.02,1067.320000000001,3.104869451523335,26.850800928126137,1.1196284691136975,13750,45.810428119273695,16265,54.18957188072631,600.3,1.3259448256346396,15.60875212250859,18.305424552449605,10.970732483253482,22.019999999995434,22.019999999995434,3187.160000000333,3165.1400000003377,2025-04-13,10,10,3.466125394321711,1.9518072289156627,25,11,0.9607843137254908,0.1425375747500402,190.40417802002133,2.220534090567897e-16,3.330764764883602e-16,-1.02,-1.0199999999999998,2.319999999999709,6005,1390,19,324,2.3286058335563284,1.6875418172086176,4.898540641415255,25.71157319956125,93.58648754864612,8191.0,59.29678915883287,1359.1799999999998,9773.0,58.03745011767113,1375.5399999999995,10543.0,56.89082803756047,1242.14,1508.0,58.15649867374005,215.84,0.8516778675300425,2023-09,173.66,2025-07,72.23999999999998,37,0,100.0,57.70521424883841,58.296024962691625,56.35239567233384,59.22145739378115,58,3,0,58.925834610515096,57.0429104477612,0.1218266572928223,41.8787423728814,34.15008734937834,241.6050663223487,2.415755292811916,0.1039664913306059,0.1039664913306059,0.0476310741753051,10.972073856603034,12.139999999995323,10,22.019999999995434,22.019999999995434,4189.395999999999,4188.700000000001,174.03088112171358,3906.600000000001,4466.800000000001,100.0,2.9559999999999977,25.17999999999998,0.0,2.701381371209424,2.700765724230177,3834.650000000001,4538.750000000001,0.0,2,5,5,6,6,7
06_Cut_WR_LT_50,31011,9270,23.01333134728532,17902,13109,57.72790300216052,42.27209699783948,4172.780000000001,17543.960000000006,13371.179999999997,0.1345580600432105,0.9800000000000004,1.0199999999999996,0.98,-1.02,1047.400000000001,2.848431290931892,27.74180201839479,1.156781557743957,14205,45.80632678726904,16806,54.19367321273096,620.22,1.3120726816930153,15.405468936999586,18.218217223324785,11.139408859140682,21.63999999999851,21.63999999999851,3124.260000000333,3102.620000000335,2025-03-19,10,10,3.5209646229097484,1.8908045977011487,26,11,0.9607843137254908,0.1373041429012353,192.82717190389505,4.441061491520294e-16,3.3307621028280434e-16,-1.02,-1.0199999999999996,2.399999999999636,6459,1508,10,329,2.3075534931683426,1.6899574577800696,4.91194163291891,26.629371329744487,93.84251313183572,8476.0,59.0726757904672,1368.4799999999998,10066.0,57.68925094377111,1346.6799999999998,10915.0,56.69262482821805,1242.6999999999998,1554.0,57.91505791505791,214.92,0.846211449975391,2023-09,180.28,2026-02,70.07999999999998,37,0,100.0,57.47558226897071,58.13056774365111,55.99824868651488,58.98058252427184,61,3,0,58.61335053208643,56.84251257577712,0.123773096904021,45.51275016181234,33.51272485265795,241.08626340840004,2.410568077117877,0.1129881337648329,0.1129881337648329,0.0483423018061216,11.140770028115371,12.519999999992253,10,21.63999999999851,21.63999999999851,4176.012,4184.780000000001,172.88241719735407,3880.780000000001,4456.880000000001,100.0,3.2781799999999968,22.45999999999998,0.0,2.6041923073551567,2.609637320699341,3822.7800000000007,4500.830000000001,0.0,3,6,6,5,7,6
07_Cut_WR_LT_52,26941,13340,33.117350611951046,15838,11103,58.78772131695186,41.21227868304814,4196.18,15521.240000000003,11325.059999999998,0.1557544263390371,0.9800000000000004,1.0199999999999998,0.98,-1.02,1070.8000000000006,3.9082496057232334,24.101762200747377,1.0049612056102657,12321,45.73326899521176,14620,54.26673100478824,538.8199999999999,1.3705216572804038,18.1559382921384,21.66015617239718,12.355911619529044,19.55999999999858,19.55999999999858,2483.380000000209,2463.8200000002103,2024-09-19,11,11,3.1265107526880977,1.9240506329113924,23,11,0.9607843137254908,0.1589330881010585,214.5286298568663,2.220546049072438e-16,3.3307742268873473e-16,-1.02,-1.0199999999999998,2.199999999999818,4585,830,0,304,2.383446200150489,1.670880361173815,4.6791731250548345,26.588911900189448,89.3954770332142,7329.0,60.29471960704053,1362.4199999999998,8808.0,58.798819255222526,1373.84,9457.0,57.55525007930633,1239.86,1347.0,59.16852264291017,220.06,0.9777692727774326,2023-09,169.92,2025-07,63.95999999999999,37,0,100.0,58.50310648750181,58.79629629629629,57.52445447705041,59.894763860369615,50,3,0,59.79213066072754,57.78338653403608,0.1180121457032515,32.33350434782611,34.261433809648764,241.695534162892,2.416816312779705,0.0802698650674663,0.0802698650674663,0.046297324512527,12.35662240096674,14.599999999992178,11,19.55999999999858,19.55999999999858,4200.082,4202.18,167.17409606754256,3931.880000000001,4482.280000000001,100.0,2.7532199999999984,24.259999999999977,0.0,3.025827887103832,3.027180391657418,3886.08,4530.2300000000005,0.0,1,4,4,3,4,8
08_Cut_WR_LT_54,21419,18862,46.8260470196867,12912,8507,60.282926373780285,39.71707362621972,3976.62,12653.760000000006,8677.14,0.1856585274756057,0.9800000000000004,1.02,0.98,-1.02,851.2400000000002,5.40345466255166,19.16171057413637,0.7989779170396897,9716,45.36159484569775,11703,54.63840515430225,428.38,1.4582869470816429,21.64568299517039,25.67821823776697,11.02218504355853,21.399999999998727,21.399999999998727,2340.740000000166,2319.3400000001675,2024-09-20,8,8,2.751312397468663,1.8280254777070064,17,8,0.9607843137254906,0.1894474770159244,185.8233644859924,0.0,4.441064076120925e-16,-1.02,-1.02,2.0799999999981083,2714,545,4,287,2.494108557079389,1.6432296696928723,4.237167354571271,20.12413301808875,80.95096864513259,5814.0,62.02270381836945,1281.7199999999998,7023.0,60.41577673358963,1322.54,7494.0,58.70029356818789,1154.12,1088.0,61.02941176470589,218.24,1.2080841145622565,2023-09,153.26,2025-05,64.29999999999998,37,0,100.0,60.16550686477336,60.080928923293456,59.44577671196376,61.02025506376594,47,2,0,61.40629377159399,59.15966386554622,0.115394209130656,18.178771307390527,27.2363680576442,235.8882358787068,2.358747599321385,0.0451298907857067,0.0451298907857067,0.0455934069004495,11.02281476068789,12.759999999992033,8,21.399999999998727,21.399999999998727,3978.154000000001,3974.62,146.1882992718638,3736.42,4218.62,100.0,2.16162,15.759999999999977,0.0,3.626228260360962,3.6225832018312696,3704.62,4278.62,0.0,6,3,3,4,3,9
09_Keep_Top_20_Pct,7372,32909,81.69856756287082,4831,2541,65.53174172544763,34.46825827455236,2142.5600000000004,4734.380000000001,2591.82,0.2906348345089528,0.9800000000000002,1.0199999999999998,0.98,-1.02,-982.8199999999993,10.652270014219006,6.595331065653976,0.2749925395404357,3334,45.22517634291916,4038,54.77482365708085,147.44,1.8266623453789237,37.13526556599631,46.51660215367583,13.176433294380647,13.379999999999654,13.379999999999653,1877.2800000000943,1863.900000000095,2025-09-03,9,9,1.812608610182679,1.9528795811518325,24,7,0.9607843137254906,0.2965661576621967,160.13153961136442,2.220883101916538e-16,2.220675897193504e-16,-1.02,-1.0199999999999998,1.1000000000000512,329,22,0,373,2.913751507840772,1.5325693606755126,2.610255063543598,13.321961997824172,49.86885296771495,1964.0,65.68228105906314,576.7199999999999,2419.0,66.01901612236462,726.62,2606.0,64.27475057559478,691.88,383.0,70.23498694516971,147.34,2.224339133705427,2025-01,87.39999999999999,2025-05,29.48,37,0,100.0,64.73829201101928,65.9845132743363,65.06849315068493,65.93325999266594,23,0,10,65.87086272381985,65.19262072707542,0.1303850279384836,-12.02983148074994,-31.446416115800304,176.29950882934918,1.763006774788085,-0.0298647786319851,-0.0298647786319851,0.0532656235920315,13.17634595137173,20.779999999991105,9,13.379999999999654,13.379999999999653,2142.076000000001,2144.5600000000004,81.77445654970754,2010.4600000000005,2280.5600000000004,100.0,1.2253200000000002,11.539999999999992,0.0,5.8414827438984736,5.847555019718528,1978.5100000000004,2310.5600000000004,0.0,11,1,1,1,1,11
10_Keep_Top_30_Pct,11524,28757,71.39097837690225,7338,4186,63.67580701145435,36.32419298854565,2921.5200000000004,7191.2400000000025,4269.719999999999,0.2535161402290871,0.9800000000000004,1.0199999999999998,0.98,-1.02,-203.8599999999992,8.796335300225728,10.309709525007689,0.4298716800954938,5228,45.36619229434224,6296,54.63380770565776,230.48,1.6842415896124343,30.91663144242991,37.3552908198234,12.504123673975618,16.359999999999673,16.359999999999673,1619.3800000000815,1603.0200000000818,2024-08-29,9,9,2.103906510851231,1.75,16,11,0.9607843137254908,0.2586899390092727,178.57701711491802,2.220711319671097e-16,3.3308960437264183e-16,-1.02,-1.0199999999999998,1.2199999999998,776,120,0,329,2.745230078563412,1.5660306771417882,3.200673004379272,16.069782547100974,61.1487718891493,3091.0,65.2539631187318,881.18,3843.0,63.54410616705699,964.14,4008.0,62.07584830339321,887.8399999999999,582.0,67.18213058419244,188.36,1.907337409430596,2026-01,108.5,2025-05,47.11999999999999,37,0,100.0,63.1578947368421,63.88409796481545,63.10850439882698,64.13231300913354,34,0,2,64.49149600833044,62.86011801457827,0.1232135418257789,-2.8555428799944256,-6.522726836416666,204.57237388184257,2.04567463306237,-0.0070890565775289,-0.0070890565775289,0.0496670539773402,12.50442383140872,17.799999999991087,9,16.359999999999673,16.359999999999673,2924.658000000001,2925.5200000000004,106.32044467551854,2743.5200000000004,3089.6200000000003,100.0,1.52344,15.939999999999984,0.0,5.042035645696438,5.042845238268135,2711.5200000000004,3123.67,0.0,10,2,2,2,2,10
